service_name,count,total_revenue,avg_price,min_price,max_price,first_seen_date,first_invoice_id
Wi-Fi card,1,500.00,500.00,500.00,500.00,2024-01-21,235
Maintenance of the mortal,1,550.00,550.00,550.00,550.00,2024-01-26,250
SSD 128G,1,850.00,850.00,850.00,850.00,2024-01-27,254
Install HD + Install Windows + Basic Programs + Orignal Drivers ppm,1,300.00,300.00,300.00,300.00,2024-01-27,254
Add 2Ram4G,1,750.00,750.00,750.00,750.00,2024-01-27,254
Install Windows 11 + Bacis Programs + Orignal Drivers,1,250.00,250.00,250.00,250.00,2024-01-28,255
license Windows 11Pro,1,650.00,650.00,650.00,650.00,2024-01-28,255
Fix Nvidia Card Circuit,1,2900.00,2900.00,2900.00,2900.00,2024-01-21,233
Charger Orignal 90W,1,650.00,650.00,650.00,650.00,2024-01-29,261
Change New ascreen,1,2800.00,2800.00,2800.00,2800.00,2024-01-31,264
Fix Keys Broken,1,0.00,0.00,0.00,0.00,2024-01-31,264
Change New Flat Screen - Fix Hosing,1,1100.00,1100.00,1100.00,1100.00,2024-02-03,276
Change New Screen 13.3,1,1900.00,1900.00,1900.00,1900.00,2024-02-04,278
Install Windows 11 + Basic Programs + Orignal Drivers,1,200.00,200.00,200.00,200.00,2024-02-04,280
Install Photoshop,1,75.00,75.00,75.00,75.00,2024-02-04,280
Install illustrator,1,75.00,75.00,75.00,75.00,2024-02-04,280
Fix Power Circuit And Ram issue,1,650.00,650.00,650.00,650.00,2024-01-27,252
Add SSD 256G 2.5,1,1500.00,1500.00,1500.00,1500.00,2024-01-27,252
Hard Rack,1,125.00,125.00,125.00,125.00,2024-01-27,252
Change All NAND Flash (Orignal),1,8000.00,8000.00,8000.00,8000.00,2024-01-14,209
Change New Battery High Copy + Fix Chirging Issue,1,1500.00,1500.00,1500.00,1500.00,2024-02-02,271
Add Ram PC3L 8G,1,775.00,775.00,775.00,775.00,2024-02-06,284
Fix USB,1,150.00,150.00,150.00,150.00,2024-02-06,285
Typing to laser keyboard,1,150.00,150.00,150.00,150.00,2024-02-06,285
Programming Bios,1,450.00,450.00,450.00,450.00,2024-01-08,191
Fix RAM Socket Pins Free,1,0.00,0.00,0.00,0.00,2024-01-08,191
Programming Bios and Fix Issue,1,500.00,500.00,500.00,500.00,2024-02-05,281
Add HDD 320G,1,250.00,250.00,250.00,250.00,2024-02-07,290
Adding an SSD + adding Windows + a Caddy + cleaning the headphone and keyboard,1,1750.00,1750.00,1750.00,1750.00,2024-02-10,295
Convert GPU to intel,1,650.00,650.00,650.00,650.00,2024-01-17,220
Fix Power Circuit & Clear Lequid Damige,1,1450.00,1450.00,1450.00,1450.00,2024-01-14,211
Add New SSD 256G,1,1450.00,1450.00,1450.00,1450.00,2024-02-12,299
Fix Data Issue Ram Circuit + Bios Update,1,650.00,650.00,650.00,650.00,2024-02-14,310
Change New Screen 120Hz (High Qyilty),1,5000.00,5000.00,5000.00,5000.00,2024-02-14,309
Fix Data Issue,1,700.00,700.00,700.00,700.00,2024-02-14,309
تكلفه اصلاح,1,750.00,750.00,750.00,750.00,2024-02-14,308
BIOS charging,1,650.00,650.00,650.00,650.00,2024-02-15,312
Fix Power Circuir + Fix Short SW Circuir,1,1300.00,1300.00,1300.00,1300.00,2024-02-13,305
Change housing,1,2400.00,2400.00,2400.00,2400.00,2024-02-19,319
تنظيف البرده من اثار العمل السابق - اثار السائل واستبدال المكونات التالفه,1,250.00,250.00,250.00,250.00,2024-02-15,313
اصلاح دائره الRun Power,1,750.00,750.00,750.00,750.00,2024-02-15,313
اصلاح دائره الشحن,1,450.00,450.00,450.00,450.00,2024-02-15,313
Change Old KB From Markatak,1,0.00,0.00,0.00,0.00,2024-02-19,322
Fix RTC Socket Broken,1,150.00,150.00,150.00,150.00,2023-11-28,49
Fix USB Circuit (Read USB 2 Only),1,300.00,300.00,300.00,300.00,2023-11-28,49
Change Work Battery From Other Device,1,0.00,0.00,0.00,0.00,2023-11-28,49
Change the charging socket,1,850.00,850.00,850.00,850.00,2024-02-24,349
Change charger cable,1,650.00,650.00,650.00,650.00,2024-02-24,349
Add New SSD M.2,1,800.00,800.00,800.00,800.00,2024-02-25,367
Change SSD 512 Sumsung EVO,1,2950.00,2950.00,2950.00,2950.00,2024-02-26,370
change screen from 340,1,150.00,150.00,150.00,150.00,2024-02-22,344
Fix Ram Short Circuit,1,850.00,850.00,850.00,850.00,2024-02-23,348
Fix Power Circut,1,600.00,600.00,600.00,600.00,2024-02-12,303
Locks 2,1,200.00,200.00,200.00,200.00,2024-02-12,303
Fix Endpoint Security Controller Problem,1,1000.00,1000.00,1000.00,1000.00,2024-02-27,371
Change Flat from 340,1,150.00,150.00,150.00,150.00,2024-02-22,339
تغير سوكت شحن,1,500.00,500.00,500.00,500.00,2024-03-02,392
Fix T.C Tracks & Change T.C Socket,1,850.00,850.00,850.00,850.00,2024-02-11,296
Change TB,1,50.00,50.00,50.00,50.00,2024-03-01,384
SSD 256G,1,1350.00,1350.00,1350.00,1350.00,2024-03-02,391
change Screen,1,100.00,100.00,100.00,100.00,2024-03-01,385
Change TB - Battery Hoshing C,1,150.00,150.00,150.00,150.00,2024-03-04,401
Repair damage caused by liquid and replace damaged components,1,550.00,550.00,550.00,550.00,2024-02-22,343
Battery flat,1,175.00,175.00,175.00,175.00,2024-02-22,343
Change van,1,1500.00,1500.00,1500.00,1500.00,2024-03-06,404
Fix SSD,1,550.00,550.00,550.00,550.00,2024-03-01,378
Caddy DVD,1,200.00,200.00,200.00,200.00,2024-03-01,378
Windows + definitions + basic programs,1,200.00,200.00,200.00,200.00,2024-03-01,378
Repair traces of liquid,1,1450.00,1450.00,1450.00,1450.00,2024-02-26,369
Change MSata 128G,1,1050.00,1050.00,1050.00,1050.00,2024-02-26,369
Add HDD 500G HDD,1,650.00,650.00,650.00,650.00,2024-02-29,376
Hard writing,1,1200.00,1200.00,1200.00,1200.00,2024-03-08,409
Screen Flat,1,0.00,0.00,0.00,0.00,2024-01-08,190
تم تركيب هارد وكادي وتنزيل ويندوز,1,1400.00,1400.00,1400.00,1400.00,2024-03-10,413
هارد كادي ويندوز,1,1175.00,1175.00,1175.00,1175.00,2024-03-10,414
Install Office 365 Licinsed,1,150.00,150.00,150.00,150.00,2024-03-13,419
Change SSD 128G,1,875.00,875.00,875.00,875.00,2024-03-10,412
Replace damaged parts,1,1200.00,1200.00,1200.00,1200.00,2024-03-14,421
Removal of fluids,1,300.00,300.00,300.00,300.00,2024-03-14,421
Add New SSD 128G,1,900.00,900.00,900.00,900.00,2024-03-19,430
Power failure repair,1,550.00,550.00,550.00,550.00,2024-03-22,434
Hard disk installation,1,1450.00,1450.00,1450.00,1450.00,2024-03-22,434
Screenshot it,1,350.00,350.00,350.00,350.00,2024-03-23,437
Change Charger ic,1,500.00,500.00,500.00,500.00,2024-03-21,432
fix liquid damage and replace damaged component,1,450.00,450.00,450.00,450.00,2024-03-13,416
اوفيس,1,100.00,100.00,100.00,100.00,2024-03-26,443
Windows hard drive + definitions + basic programs + CAD,1,2900.00,2900.00,2900.00,2900.00,2024-03-26,446
Hard,1,2500.00,2500.00,2500.00,2500.00,2024-03-24,440
Windows + drivers + hard drive installation,1,250.00,250.00,250.00,250.00,2024-03-24,440
Fix Ram Circuit and Fix Liquid Damige,1,850.00,850.00,850.00,850.00,2024-03-22,433
Fix Lequid Damige and fix Power Circuit,1,750.00,750.00,750.00,750.00,2024-03-05,402
inspection charge,1,150.00,150.00,150.00,150.00,2024-03-26,442
"Change New Screen 15.6""",1,2150.00,2150.00,2150.00,2150.00,2024-04-01,450
Fix LCD Flat,1,1850.00,1850.00,1850.00,1850.00,2024-03-30,447
"SSD 256G 2.5""",1,1450.00,1450.00,1450.00,1450.00,2024-04-02,460
Reprograming Bios + Fix Ram Circuit,1,950.00,950.00,950.00,950.00,2024-03-31,448
Change Mac MagSafe 1 Charger Cable,1,350.00,350.00,350.00,350.00,2024-04-03,462
"Change New Screen 14"" HD",1,1750.00,1750.00,1750.00,1750.00,2024-04-03,464
Acer Charger 180W Orignal,1,1450.00,1450.00,1450.00,1450.00,2024-04-03,468
Screen 15.6 FHD 30Pin Smail Board,1,3800.00,3800.00,3800.00,3800.00,2024-04-04,470
صيانه هوسينج,1,600.00,600.00,600.00,600.00,2024-04-05,473
Active OS,1,50.00,50.00,50.00,50.00,2024-04-06,476
تغير بطارية,1,1850.00,1850.00,1850.00,1850.00,2024-04-07,477
Dell Charger 90W Orignal,1,550.00,550.00,550.00,550.00,2024-04-07,478
Fix RTC Circuit,1,300.00,300.00,300.00,300.00,2024-03-13,417
Installation of hard drive + cable,1,1000.00,1000.00,1000.00,1000.00,2024-04-15,481
Download Illustrator + Photoshop,1,100.00,100.00,100.00,100.00,2024-04-15,481
SSD 256g Nvme + Install HD + Install Windows + Basic Programs + Orignal Drivers,1,1500.00,1500.00,1500.00,1500.00,2024-04-15,483
RAM 8G 3200,1,950.00,950.00,950.00,950.00,2024-04-15,483
Housing installation,1,1250.00,1250.00,1250.00,1250.00,2024-04-16,484
تغيير شاشه fhd,1,2950.00,2950.00,2950.00,2950.00,2024-04-17,485
fic hosing,1,650.00,650.00,650.00,650.00,2024-04-17,487
Convert,1,100.00,100.00,100.00,100.00,2024-04-17,486
add ssd 128G,1,1000.00,1000.00,1000.00,1000.00,2024-04-17,488
Burning Windows 10 to Flash (Free),1,0.00,0.00,0.00,0.00,2024-04-17,489
صيانه دوريه .. (الثيرمل بيست من العميل),1,300.00,300.00,300.00,300.00,2024-04-18,490
Change SSD Port,1,650.00,650.00,650.00,650.00,2024-04-01,453
Cooling System Maintenance & Fix Fan,1,450.00,450.00,450.00,450.00,2024-04-20,492
تحميل اوفيس,1,200.00,200.00,200.00,200.00,2024-04-21,494
full Test - Install Windows + Basic Programs + Orignal Drivers,1,250.00,250.00,250.00,250.00,2024-04-20,493
FIX HOSING,1,550.00,550.00,550.00,550.00,2024-04-23,502
Programing Bios,1,650.00,650.00,650.00,650.00,2024-04-22,499
Change New USB,1,250.00,250.00,250.00,250.00,2024-04-22,499
تركيب min,1,150.00,150.00,150.00,150.00,2024-04-25,503
fix hosimg,1,650.00,650.00,650.00,650.00,2024-04-25,504
Fix Chrging Circuit,1,450.00,450.00,450.00,450.00,2024-04-25,505
تكلفه الفحص,1,150.00,150.00,150.00,150.00,2024-04-29,507
Installation 5 Adobe programs,1,350.00,350.00,350.00,350.00,2024-05-09,516
Fix Hosing 2 Hinges,1,1200.00,1200.00,1200.00,1200.00,2024-05-12,523
Upgread To SSD 128G + Install Windows + Basic Programs + Orignal Drivers,1,1200.00,1200.00,1200.00,1200.00,2024-05-12,524
New Charger Orignal,1,950.00,950.00,950.00,950.00,2024-05-12,524
Upgrad to ssd 128G + Install Windows + Basic Programs + Orignal Drivers,1,1000.00,1000.00,1000.00,1000.00,2024-05-13,527
Upgread to SSD 256G + Install Windows + Basic Programs + Orignal Drivers,1,1600.00,1600.00,1600.00,1600.00,2024-05-14,529
New Battery High Quilty,1,1050.00,1050.00,1050.00,1050.00,2024-05-14,529
Cooling System Maintenance Normal,1,350.00,350.00,350.00,350.00,2024-05-14,529
تخفيف المفصلات واستعدال الهوسانج,1,100.00,100.00,100.00,100.00,2024-05-16,532
chANGW CABLE,1,400.00,400.00,400.00,400.00,2024-02-08,293
Change Bios Chip + Programming Bios,1,950.00,950.00,950.00,950.00,2024-05-11,519
Fix Hosing 2 hings,1,650.00,650.00,650.00,650.00,2024-05-17,534
New Screen FHD (Orignal),1,3200.00,3200.00,3200.00,3200.00,2024-05-18,537
Cooling Sysem Pro & Fix Fan,1,450.00,450.00,450.00,450.00,2024-05-16,531
Change New RTC Battery + Fix TPM,1,1000.00,1000.00,1000.00,1000.00,2024-05-01,512
Fix Viga Circuit & Cooling sys,1,1450.00,1450.00,1450.00,1450.00,2024-05-01,512
تغيير الفلاته,1,450.00,450.00,450.00,450.00,2024-05-20,544
(New Screen 15.6 (High Quilty,1,1550.00,1550.00,1550.00,1550.00,2024-05-17,535
Cooling system,1,350.00,350.00,350.00,350.00,2024-05-17,535
Fix Charging Circuit & RTC Battery,1,800.00,800.00,800.00,800.00,2024-05-20,541
Dell New Charger New Pin Prignal,1,850.00,850.00,850.00,850.00,2024-05-22,545
Change USB Port (1),1,200.00,200.00,200.00,200.00,2024-05-28,548
Fix USB Sircuit,1,150.00,150.00,150.00,150.00,2024-05-28,548
Add SSD 128G + Install Windows + Basic Programs + Orignal Drivers +CAdy And Assimbly,1,1100.00,1100.00,1100.00,1100.00,2024-05-29,552
تم حل مشكله الباور و الجهاز يعمل طبيعي لاكن يوجد تلف داخلي ف مديول الفيجا الIntel,1,350.00,350.00,350.00,350.00,2024-02-24,366
Fix Screen,1,250.00,250.00,250.00,250.00,2024-02-20,334
Bios Programing - Install OS,1,450.00,450.00,450.00,450.00,2024-02-19,329
Add New RTC Battery,1,100.00,100.00,100.00,100.00,2024-02-19,327
تم تبديل نصف الجهازين,1,150.00,150.00,150.00,150.00,2024-02-19,324
Fix Battery Sockit,1,150.00,150.00,150.00,150.00,2024-05-29,553
Fix Lequide Damige & Clean Liquid on MB,1,650.00,650.00,650.00,650.00,2024-05-28,551
Reprogramming Bios + Fix Sata Circuit,1,650.00,650.00,650.00,650.00,2024-05-16,533
HDD Flat Cable,1,250.00,250.00,250.00,250.00,2024-05-16,533
تكلفه فك شاشتين HP EliteBook X360 وتنظبف الكاميرات 2*650,1,2000.00,2000.00,2000.00,2000.00,2024-05-30,556
Fix Power System Circuit + RePrograming Bios To HP EliteBook 1040 G6,1,1100.00,1100.00,1100.00,1100.00,2024-05-30,556
ReBuild Bios & Fix Endpoint Secuirty To HP EliteBook 1040 G5,1,750.00,750.00,750.00,750.00,2024-05-30,556
اعاده لحام سوكت البطاريه وتعويض المسارات المقطوعه,1,150.00,150.00,150.00,150.00,2024-06-03,562
Cahnge New RTC Battery,1,100.00,100.00,100.00,100.00,2024-02-24,353
Fix Cam Circuit And Add Cam,1,300.00,300.00,300.00,300.00,2024-02-24,354
Change New RTC Battry,1,100.00,100.00,100.00,100.00,2024-02-19,331
Cancel Vega card,1,550.00,550.00,550.00,550.00,2024-02-19,331
Change New Speaker,1,400.00,400.00,400.00,400.00,2024-02-19,331
Fix Viga Circuit,1,250.00,250.00,250.00,250.00,2024-02-24,359
تجميع باقي الجهاز من التقطيع,1,150.00,150.00,150.00,150.00,2024-02-24,359
Fix Hosing 2Hing,1,500.00,500.00,500.00,500.00,2024-06-04,569
كولينج وسوفت وير,1,400.00,400.00,400.00,400.00,2024-06-04,568
Change the motherboard,1,2500.00,2500.00,2500.00,2500.00,2024-06-02,560
Screen flat repair,1,250.00,250.00,250.00,250.00,2024-06-09,571
تغيير الكلكات من الاسكراب,1,0.00,0.00,0.00,0.00,2024-06-03,566
Change New Screen and Assembly,1,1650.00,1650.00,1650.00,1650.00,2024-06-03,563
ADD New Battery,1,1350.00,1350.00,1350.00,1350.00,2024-06-03,567
Fix Ram Circuit And ReBuild Bios And ReProgramming,1,800.00,800.00,800.00,800.00,2024-06-11,574
Hard disk installation + Windows + original drivers,1,1750.00,1750.00,1750.00,1750.00,2024-06-11,573
Cooling System maintenance,1,480.00,480.00,480.00,480.00,2024-06-11,573
Change New PCH And Fix Power Circuit,1,4000.00,4000.00,4000.00,4000.00,2024-05-28,547
تكلفه قطه الغيار فقط,1,350.00,350.00,350.00,350.00,2024-05-22,546
Chang Motherboard to i7-8th,1,7000.00,7000.00,7000.00,7000.00,2024-02-24,351
Change new RTC Battery,1,150.00,150.00,150.00,150.00,2024-02-24,351
New Ram 8G,1,850.00,850.00,850.00,850.00,2024-02-24,351
Cooling System Maintenance + Install OS = 550 is Free,1,0.00,0.00,0.00,0.00,2024-02-24,351
Fix Charging Circuit And Re Programming Bios,1,650.00,650.00,650.00,650.00,2023-11-28,50
Fix Main Fan (Soldring And Fix RPM),1,350.00,350.00,350.00,350.00,2024-06-14,581
Cooling System Maintenance Pro (Coolier Master + Thermal Grezel,1,850.00,850.00,850.00,850.00,2024-06-14,581
Fix Key Free,1,0.00,0.00,0.00,0.00,2024-06-14,581
Change Ram 8G to 16G,1,750.00,750.00,750.00,750.00,2024-06-14,581
Installing a 1 TB hard drive,1,3200.00,3200.00,3200.00,3200.00,2024-06-22,582
Change New antenna,1,400.00,400.00,400.00,400.00,2024-06-23,584
Change New Thermal Bad to CPU And GPU Coil Only,1,300.00,300.00,300.00,300.00,2024-06-13,579
Change To SSD 1T Macron H100%,1,3300.00,3300.00,3300.00,3300.00,2024-06-26,588
Assambli And Install Windows + Basic Programs + Orignal Drivers Free,1,0.00,0.00,0.00,0.00,2024-06-26,588
Install Windows + Basic Programs + Orignal Drivers + New Cady,1,300.00,300.00,300.00,300.00,2024-06-10,572
Change New Screen 15.6 FHD,1,2800.00,2800.00,2800.00,2800.00,2024-06-26,591
Add SSD 1T,1,3000.00,3000.00,3000.00,3000.00,2024-06-26,591
Change New battery,1,1750.00,1750.00,1750.00,1750.00,2024-06-26,591
Change New ssd,1,1650.00,1650.00,1650.00,1650.00,2024-06-26,589
Change New RAM,1,350.00,350.00,350.00,350.00,2024-06-26,589
Modify bass settings,1,650.00,650.00,650.00,650.00,2024-06-25,587
Cooling System,1,750.00,750.00,750.00,750.00,2024-06-28,592
Hinges repair,1,650.00,650.00,650.00,650.00,2024-06-28,592
hard,1,1550.00,1550.00,1550.00,1550.00,2024-06-29,594
Reset PCH,1,350.00,350.00,350.00,350.00,2024-07-01,600
كسر ف المفصلات,1,650.00,650.00,650.00,650.00,2024-07-02,603
fix housing,1,850.00,850.00,850.00,850.00,2024-07-07,606
Change New Screen 15.6 HD Led (Orignal Quilty),1,1650.00,1650.00,1650.00,1650.00,2024-07-07,607
Windows 11 Pro SerialNumber,1,450.00,450.00,450.00,450.00,2024-07-08,609
"Change New Screen 12.5"" HD",1,1650.00,1650.00,1650.00,1650.00,2024-07-08,610
New Charger 65W High copy,1,390.00,390.00,390.00,390.00,2024-07-07,605
Change batteryChange battery,1,2200.00,2200.00,2200.00,2200.00,2024-07-09,612
Fix Hoing,1,750.00,750.00,750.00,750.00,2024-07-10,614
استبدال USB,1,350.00,350.00,350.00,350.00,2024-07-11,619
- Fix CPU Circuit,1,550.00,550.00,550.00,550.00,2024-07-11,620
- Rebuild & Fix Bios,1,350.00,350.00,350.00,350.00,2024-07-11,620
- Cooling System Maintenance Pro,1,450.00,450.00,450.00,450.00,2024-07-11,620
Change headphones,1,850.00,850.00,850.00,850.00,2024-07-13,621
"Change New Screen 14"" New Orignal Quilty",1,1950.00,1950.00,1950.00,1950.00,2024-07-14,626
Install office 2021 Free,1,0.00,0.00,0.00,0.00,2024-07-14,626
Cooling Systen,1,350.00,350.00,350.00,350.00,2024-07-14,628
512 Hard disk installation,1,2100.00,2100.00,2100.00,2100.00,2024-07-14,629
Change Thermal Bad To SSD,1,750.00,750.00,750.00,750.00,2024-07-15,632
Add SSD i28G +  Assambly + Install Windows + Basic Programs + Orignal Drivers,1,1100.00,1100.00,1100.00,1100.00,2024-07-15,633
New Charger HP 90W,1,390.00,390.00,390.00,390.00,2024-07-16,635
Change New Screen 15.6 FHD Orignal,1,3900.00,3900.00,3900.00,3900.00,2024-07-15,631
Change Hosing AB,1,2500.00,2500.00,2500.00,2500.00,2024-07-15,631
مستره الهاوسنج مجانا بدل من 400 جنيه,1,0.00,0.00,0.00,0.00,2024-07-15,631
New Dell Charger 90W,1,390.00,390.00,390.00,390.00,2024-07-16,636
Change New KB High Copy,1,450.00,450.00,450.00,450.00,2024-07-17,638
Unlock UEFI Password,1,650.00,650.00,650.00,650.00,2024-02-19,325
Change New HD Flat,1,650.00,650.00,650.00,650.00,2024-02-19,325
`,1,50.00,50.00,50.00,50.00,2024-07-14,623
Rebuild Bios & Fix Ram Circuit,1,0.00,0.00,0.00,0.00,2024-06-13,580
Change New SP,1,400.00,400.00,400.00,400.00,2024-02-19,328
Clean SSD & HDD,1,0.00,0.00,0.00,0.00,2024-07-22,641
Fix B Out Sours,1,175.00,175.00,175.00,175.00,2024-07-23,643
Fix Fan Circuit,1,950.00,950.00,950.00,950.00,2024-07-23,644
Mini Cooling System Free,1,0.00,0.00,0.00,0.00,2024-07-23,644
New Battery KM742,1,850.00,850.00,850.00,850.00,2024-07-24,648
Fix Bios And RePrograming,1,1650.00,1650.00,1650.00,1650.00,2024-07-24,650
تغيير سوكت شحن,1,450.00,450.00,450.00,450.00,2024-07-27,653
New Battery High Copy CM03,1,1000.00,1000.00,1000.00,1000.00,2024-07-28,655
Install 3D Max,1,150.00,150.00,150.00,150.00,2024-07-30,666
sketchup,1,100.00,100.00,100.00,100.00,2024-07-30,666
fix Back Light,1,2450.00,2450.00,2450.00,2450.00,2024-07-30,667
تكلفه تركيب هارد,1,2150.00,2150.00,2150.00,2150.00,2024-07-31,670
تكلفه تركيب بطاريه,1,950.00,950.00,950.00,950.00,2024-07-31,670
تكلفه عمل Frame,1,100.00,100.00,100.00,100.00,2024-07-31,670
9 Adobe programs for MacBook at a cost of 175 per program instead of 250 per program,1,1575.00,1575.00,1575.00,1575.00,2024-08-01,671
Change New Speakes,1,1375.00,1375.00,1375.00,1375.00,2024-08-06,677
Add SSD 128G + Assemble + Install Windows + Basic Programs + Orignal Drivers + Cady,1,1100.00,1100.00,1100.00,1100.00,2024-08-07,681
Add SSD 512 M.2 Nvme,1,1950.00,1950.00,1950.00,1950.00,2024-08-06,678
Assembli And Install Windows + Basic Programs + Orignal Drivers,1,250.00,250.00,250.00,250.00,2024-08-06,678
Fix SPI Circuit & ReProgramming Bios,1,1400.00,1400.00,1400.00,1400.00,2024-07-29,662
Fix And ReBuld and ReProgramming Bios,1,650.00,650.00,650.00,650.00,2024-08-04,674
Fix Blue Screen,1,350.00,350.00,350.00,350.00,2024-07-29,663
"From start to finish, we provide you with everything you need: software, all essential applications, and a free backup plan for three devices that costs 850 EGP each.",1,2550.00,2550.00,2550.00,2550.00,2024-08-08,682
Add New RAM 2*16G,1,3000.00,3000.00,3000.00,3000.00,2024-08-08,682
Buy 2 RAM 2*8G,1,-800.00,-800.00,-800.00,-800.00,2024-08-08,682
Fix Bios Parameters,1,350.00,350.00,350.00,350.00,2024-07-29,661
Change New SSD 128G + Install HD + Install Windows + Basic Programs + Orignal Drivers,1,950.00,950.00,950.00,950.00,2024-08-08,684
Add New Battery,1,1100.00,1100.00,1100.00,1100.00,2024-08-08,684
Fix Power Circuit & Reset Bios,1,800.00,800.00,800.00,800.00,2024-08-03,673
Change Orignal Screen Gread A+ (خلع),1,10600.00,10600.00,10600.00,10600.00,2024-08-13,694
fix bios parameters and ReProgramming,1,850.00,850.00,850.00,850.00,2024-08-13,695
Add SSD 128G +Cady + Assembly + Install Windows + Basic Programs + Orignal Drivers,1,1000.00,1000.00,1000.00,1000.00,2024-08-15,697
ٌFix And ReBuld and ReProgramming Bios,1,650.00,650.00,650.00,650.00,2024-08-06,675
fix hasing,1,450.00,450.00,450.00,450.00,2024-08-20,705
Change the original keyboard,1,1700.00,1700.00,1700.00,1700.00,2024-08-23,711
Change New Flat Screen,1,950.00,950.00,950.00,950.00,2024-08-25,716
